anno,latitudine,longitudin,public_pos,geoprivacy,coordinate
20/05/2020,44.976137373599997,7.073338507000000,"27253",obscured,"1"
25/05/2020,45.922184500000000,10.882955800000000,"205",,"0"
02/06/2020,42.752005903700002,10.206591859500000,"17",,"0"
02/06/2020,42.751980000000003,10.207016666700000,"8",,"0"
02/06/2020,42.752182669900002,10.212671086200000,"263",,"0"
02/06/2020,42.750313197600001,10.207421865200001,"31",,"0"
01/06/2020,43.775505068800001,11.218860559199999,"20",,"0"
04/06/2020,43.709580604700001,10.409270301499999,"47",,"0"
08/06/2020,39.612114202800001,8.824254423399999,"33",,"0"
07/06/2020,42.114444444400000,12.121111111099999,,,"0"
05/06/2020,42.780768422400001,10.407309001200000,"3202",,"0"
06/06/2020,43.843822350499998,11.061423913100001,"70",,"0"
11/06/2020,45.372776374200001,10.696593513400000,"69141",,"0"
11/06/2020,45.368305624700000,10.748430545900000,"84530",,"0"
06/06/2020,44.808953158300000,7.686898646300000,"7813",,"0"
15/06/2020,42.805086681699997,10.269577592599999,"6",,"0"
17/06/2020,44.000298430299999,10.162968412000000,"349",,"0"
18/06/2020,43.684687529400001,10.614663809500000,"294",,"0"
20/06/2020,40.660340228999999,14.418913965500000,"39",,"0"
21/06/2020,39.780984551200000,9.668752919099999,"1127",,"0"
22/06/2020,43.885867237399999,10.772202674300001,"22",,"0"
23/06/2020,42.213665074799998,12.593923509100000,"1052",,"0"
,44.131508694600001,10.414096936600000,"352",,"0"
20/06/2020,46.110732162700003,11.110019350200000,"4",,"0"
24/06/2020,43.092017079100003,13.840804696099999,"28452",,"0"
26/06/2020,42.939420584600001,13.891567932399999,"3",,"0"
26/06/2020,46.080437869999997,10.994933899999999,"3",,"0"
24/06/2020,45.135952502999999,7.384596504300000,"2104",,"0"
28/06/2020,44.496015652899999,8.554316293599999,"10054",,"0"
29/06/2020,39.840042580000002,9.488416750000001,"6",,"0"
27/06/2020,43.621233460699997,11.556909084300001,"1052",,"0"
30/06/2020,43.333474461800002,11.309838493000001,"65",,"0"
01/07/2020,43.333401314100001,11.309826096800000,"65",,"0"
28/06/2020,43.267425421799999,13.756842965100001,"15",,"0"
23/06/2020,45.879708330000000,10.868536669999999,"8",,"0"
28/06/2020,41.248940586200000,15.345918238199999,"33",,"0"
03/07/2020,44.043218278300003,9.984768886700000,"93",,"0"
,40.783190329100002,14.404625147599999,"3023",,"0"
04/07/2020,39.815129733399999,9.488058955300000,"47",,"0"
06/07/2020,45.012206767599999,7.769115636800000,"27222",obscured,"1"
06/07/2020,41.727095480400003,12.659123986999999,"17",,"0"
07/07/2020,40.671459180399999,16.498089619000002,"127",,"0"
09/07/2020,45.500784377300000,7.871245443800000,"2104",,"0"
09/07/2020,41.647262348700004,12.428764879299999,"43",,"0"
09/07/2020,45.501014436799998,7.873066328500000,"1155",,"0"
11/07/2020,43.481920240500003,13.081706604000001,"10",,"0"
12/07/2020,41.081067599999997,9.547717100000000,"30",,"0"
12/07/2020,43.317706475300000,11.330160613900000,"20",,"0"
12/07/2020,41.080953162199997,9.547959258800001,"19",,"0"
12/07/2020,41.080939625399999,9.548004102000000,"10",,"0"
10/07/2020,40.299999999999997,9.590000000000000,,,"0"
14/07/2020,42.323616102499997,12.374636815700001,"27661",obscured,"1"
16/07/2020,45.990893329400002,8.407239872900000,"136",,"0"
18/07/2020,45.568164233499999,9.027827575300000,"4",,"0"
21/07/2020,43.763907349999997,11.317679180000001,"7",,"0"
19/07/2020,45.200697499999997,10.745695100000001,"963",,"0"
30/07/2020,41.901847296400000,15.967334685899999,"10",,"0"
27/07/2020,45.906084865700002,10.898989995699999,"78",,"0"
02/08/2020,45.137703972200001,7.133220972200000,,,"0"
20/08/2020,45.095472706199999,7.554560363100000,"27222",obscured,"1"
07/09/2020,40.744884972199998,17.204367000000001,,,"0"
28/06/2020,41.599392898600001,13.088731393200000,"489",,"0"
18/07/2020,45.502222222199997,7.892500000000000,,,"0"
21/06/2020,43.846871800000002,11.061502200000000,"184",,"0"
14/06/2019,45.529624699999999,9.406381200000000,"1759",,"0"
21/05/2021,44.721833689000000,8.037412650900000,"9",,"0"
30/05/2021,42.755277720199999,10.214444361600000,,,"0"
30/05/2021,38.155906677200001,16.172187805200000,"87",,"0"
30/05/2021,40.733886122000001,13.863956518500000,"9",,"0"
03/06/2021,40.754354999999997,13.883486666700000,"65",,"0"
04/06/2021,42.795805000000001,10.282821666700000,"4",,"0"
05/06/2021,45.453813699999998,7.741651200000000,"2214",,"0"
07/06/2021,43.591163000000002,10.297418972199999,,,"0"
09/06/2021,43.851403333299999,13.005477783300000,"3",,"0"
09/06/2021,42.795741666700003,10.282908333300000,"4",,"0"
10/06/2021,45.548441784100000,10.379493894399999,"5",,"0"
10/06/2021,41.266653933999997,15.923468389000000,"408",,"0"
13/06/2021,41.970709385699998,12.156162522700001,"53984",,"0"
13/06/2021,43.753278333300003,11.193171666700000,"24",,"0"
13/06/2021,45.111060420800001,7.747100859300000,"27222",obscured,"1"
13/06/2021,40.703754477399997,14.700610265100000,"17",,"0"
08/06/2021,45.496288980999999,12.110136821899999,"35",,"0"
17/06/2021,45.506232283599999,10.733102325100001,"2",,"0"
18/06/2021,43.862406434000000,11.076123118400000,"16",,"0"
19/06/2021,42.582374999999999,11.907358333299999,"9",,"0"
18/06/2021,43.884511710399998,11.090569031199999,"76",,"0"
22/06/2021,44.008239109199998,10.100877284999999,"33",,"0"
12/06/2021,46.629071087400000,10.900898091500000,"1478",,"0"
23/06/2021,45.136917467200000,7.140798457000000,"21",,"0"
24/06/2021,45.518288773300000,8.981740661000000,"184",,"0"
24/06/2021,39.891897911699999,9.549511364200001,"65",,"0"
27/06/2021,45.876344344300001,10.869802786099999,"37",,"0"
28/06/2021,40.840774028100000,14.159092046300000,"188",,"0"
30/06/2021,44.449499350000004,8.880844900000000,"10519",,"0"
30/06/2021,40.024287690199998,9.167926808800001,"33",,"0"
02/07/2021,46.055532740600000,10.964087918400001,"1106",,"0"
03/07/2021,43.736319953500001,10.334566421800000,"9",,"0"
03/07/2021,45.997856300000002,10.939662700000000,"2200",,"0"
03/07/2021,44.791765683999998,7.713993899500000,"596",,"0"
05/07/2021,45.015064932900003,7.623712433600000,"112",,"0"
06/07/2021,41.110484988099998,9.147413638000000,"5005",,"0"
07/07/2021,43.712175442300001,11.164039224400000,"5",,"0"
